restaurant_link;restaurant_name;city;address;latitude;longitude;top_tags;price_level;meals;cuisines;special_diets;features;vegetarian_friendly;vegan_options;gluten_free;original_open_hours;avg_rating;total_reviews_count;excellent;very_good;average;poor;terrible;food;service;value
g187147-d10027353;L'inconnu;Paris;4 rue Pierre Leroux, 75007 Paris France;48.850185;2.318649;Fine Dining, Italian, European;€€€€;Lunch Dinner;Italian European;;Reservations Seating Wheelchair Accessible Serves Alcohol Table Service;N;N;N;;4.5;127.0;19.0;5.0;1.0;0.0;1.0;4.5;4.5;4.0
g187147-d10027589;Soyouz;Paris;11 rue de l Esperance, 75013 Paris France;48.82722;2.34865;Cheap Eats, Italian, Pizza;€;;Italian Pizza;;Reservations Seating Wheelchair Accessible;N;N;N;;4.0;15.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;4.0
g187147-d10028089;The Place To Eat;Paris;246 T rue du Faubourg Saint Antoine, 75012 Paris France;48.84908;2.39033;Cheap Eats, Belgian, Fast food, European;€;Lunch Dinner Brunch;Belgian Fast food European;;Television Serves Alcohol Wine and Beer Accepts Mastercard Accepts Visa Digital Payments Free Wifi Takeout Reservations Outdoor Seating Seating Wheelchair Accessible Accepts Credit Cards;N;N;N;"{""Mon"": [""09:30-20:00""], ""Tue"": [""09:30-20:00""], ""Wed"": [""09:30-20:00""], ""Thu"": [""09:30-20:00""], ""Fri"": [""09:30-20:00""], ""Sat"": [""11:00-18:00""], ""Sun"": []}";4.5;18.0;1.0;0.0;1.0;0.0;0.0;4.0;4.0;4.5
g187147-d10028345;Petit Navire;Paris;85 rue Julien Lacroix, 75020 Paris France;48.871803;2.38252;Mid-range, Mediterranean;€€-€€€;Lunch Dinner Brunch After-hours Drinks;Mediterranean;;Seating Reservations Wheelchair Accessible Serves Alcohol Wine and Beer Free Wifi Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [], ""Tue"": [""12:00-00:00""], ""Wed"": [""12:00-00:00""], ""Thu"": [""12:00-00:00""], ""Fri"": [""12:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": []}";4.5;22.0;0.0;0.0;1.0;0.0;0.0;4.5;4.5;4.0
g187147-d10041615;McDonald's;Paris;88 B avenue Parmentier, 75011 Paris France;48.86541;2.374567;Cheap Eats, Fast food;€;Breakfast Lunch Dinner;Fast food;;Wheelchair Accessible;N;N;N;"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}";3.0;12.0;1.0;0.0;0.0;0.0;0.0;;;
g187147-d10041740;Le Vent d'Armor;Paris;25 quai de la Tournelle, 75005 Paris France;48.850224;2.354245;Mid-range, French, Seafood, European;€€-€€€;Lunch Dinner;French Seafood European Healthy;Gluten Free Options;Reservations Seating Wheelchair Accessible Serves Alcohol Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service;N;N;Y;"{""Mon"": [""19:30-22:00""], ""Tue"": [""12:00-13:30"", ""19:30-22:00""], ""Wed"": [""12:00-13:30"", ""19:30-22:00""], ""Thu"": [""12:00-13:30"", ""19:30-22:00""], ""Fri"": [""12:00-13:30"", ""19:30-22:00""], ""Sat"": [""12:00-13:30"", ""19:30-22:00""], ""Sun"": []}";5.0;364.0;110.0;12.0;3.0;1.0;0.0;5.0;5.0;4.5
g187147-d10044448;Huguette Bistro de la Mer;Paris;81 rue de Seine, 75006 Paris France;48.853233;2.336965;Mid-range, French, Seafood;€€-€€€;Lunch Dinner;French Seafood;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [""08:00-02:00""], ""Tue"": [""08:00-02:00""], ""Wed"": [""08:00-02:00""], ""Thu"": [""08:00-02:00""], ""Fri"": [""08:00-02:00""], ""Sat"": [""08:00-02:00""], ""Sun"": [""08:00-02:00""]}";4.0;694.0;107.0;76.0;26.0;9.0;19.0;4.0;4.0;4.0
g187147-d10047284;Starbucks;Paris;Place du 11 Novembre 1918 Gare de l'Est, 75010 Paris France;48.87678;2.35845;Mid-range, Quick Bites, Cafe;€€-€€€;Breakfast;Cafe;;Takeout Seating Wheelchair Accessible Free Wifi;N;N;N;"{""Mon"": [""06:00-21:00""], ""Tue"": [""06:00-21:00""], ""Wed"": [""06:00-21:00""], ""Thu"": [""06:00-21:00""], ""Fri"": [""06:00-21:30""], ""Sat"": [""06:00-21:00""], ""Sun"": [""06:00-21:30""]}";3.0;160.0;5.0;8.0;6.0;0.0;4.0;3.0;3.0;3.0
g187147-d10047622;La Gouttiere;Paris;96 avenue Parmentier, 75011 Paris France;48.866;2.374021;Cheap Eats;€;Dinner;;;Reservations Seating Table Service Wheelchair Accessible;N;N;N;;4.5;19.0;1.0;1.0;0.0;0.0;0.0;3.5;4.5;4.0
g187147-d10053046;Baguettes Royales;Paris;17 rue Jean Giraudoux, 75116 Paris France;48.869236;2.297215;Mid-range, Chinese, Asian, Thai;€€-€€€;Lunch Dinner;Asian Vietnamese Chinese Thai;;Reservations Seating Table Service Wheelchair Accessible;N;N;N;;3.5;16.0;1.0;4.0;0.0;0.0;0.0;3.5;3.5;3.5
